id,metro,latitude,longitude
1,"Abilene, TX",32.4487364,-99.7331439
2,"Akron, OH",41.0814447,-81.5190053
3,"Albany, GA",31.5785074,-84.155741
4,"Albany, OR",44.6365107,-123.1059282
5,"Albany-Schenectady-Troy, NY",42.6525793,-73.7562317
6,"Albuquerque, NM",35.110703,-106.609991
7,"Alexandria, LA",31.3112936,-92.4451371
8,"Allentown-Bethlehem-Easton, PA-NJ",40.6084305,-75.4901833
9,"Altoona, PA",40.5186809,-78.3947359
10,"Amarillo, TX",35.2219971,-101.8312969
11,"Ames, IA",42.034722,-93.62
12,"Anchorage, AK",61.2180556,-149.9002778
13,"Ann Arbor, MI",42.2808256,-83.7430378
14,"Anniston-Oxford-Jacksonville, AL",33.6598257,-85.8316318
15,"Appleton, WI",44.2619309,-88.4153847
16,"Asheville, NC",35.5950581,-82.5514869
17,"Athens-Clarke County, GA",33.95,-83.383333
18,"Atlanta-Sandy Springs-Roswell, GA",33.7489954,-84.3879824
19,"Atlantic City-Hammonton, NJ",39.3642834,-74.4229266
20,"Auburn-Opelika, AL",32.6098566,-85.4807825
21,"Augusta-Richmond County, GA-SC",33.4734978,-82.0105148
22,"Austin-Round Rock, TX",30.267153,-97.7430608
23,"Bakersfield, CA",35.3732921,-119.0187125
24,"Baltimore-Columbia-Towson, MD",39.2903848,-76.6121893
25,"Bangor, ME",44.8011821,-68.7778138
26,"Barnstable Town, MA",41.7003208,-70.3002024
27,"Baton Rouge, LA",30.4582829,-91.1403196
28,"Battle Creek, MI",42.3211522,-85.1797142
29,"Bay City, MI",43.5944677,-83.8888647
30,"Beaumont-Port Arthur, TX",30.080174,-94.1265562
31,"Beckley, WV",37.7781702,-81.1881557
32,"Bellingham, WA",48.74908,-122.4781473
33,"Bend-Redmond, OR",44.0581728,-121.3153096
34,"Billings, MT",45.7832856,-108.5006904
35,"Binghamton, NY",42.0986867,-75.9179738
36,"Birmingham-Hoover, AL",33.5206608,-86.80249
37,"Bismarck, ND",46.8083268,-100.7837392
38,"Blacksburg-Christiansburg-Radford, VA",37.2295733,-80.4139393
39,"Bloomington, IL",40.4842027,-88.9936873
40,"Bloomington, IN",39.165325,-86.5263857
41,"Bloomsburg-Berwick, PA",41.003698,-76.4549457
42,"Boise City, ID",43.6187102,-116.2146068
43,"Boston-Cambridge-Newton, MA-NH",42.3584308,-71.0597732
44,"Boulder, CO",40.0149856,-105.2705456
45,"Bowling Green, KY",36.9685219,-86.4808043
46,"Bremerton-Silverdale, WA",47.5673202,-122.6329356
47,"Bridgeport-Stamford-Norwalk, CT",41.1865478,-73.1951767
48,"Brownsville-Harlingen, TX",25.9017472,-97.4974838
49,"Brunswick, GA",31.1499528,-81.4914894
50,"Buffalo-Cheektowaga-Niagara Falls, NY",42.8864468,-78.8783689
51,"Burlington, NC",36.0956918,-79.4377991
52,"Burlington-South Burlington, VT",44.4758825,-73.212072
53,"California-Lexington Park, MD",38.3004029,-76.5074542
54,"Canton-Massillon, OH",40.7989473,-81.378447
55,"Cape Coral-Fort Myers, FL",26.5628537,-81.9495331
56,"Cape Girardeau, MO-IL",37.3058839,-89.5181476
57,"Carbondale-Marion, IL",37.7272727,-89.2167501
58,"Carson City, NV",39.1637984,-119.7674034
59,"Casper, WY",42.866632,-106.313081
60,"Cedar Rapids, IA",41.9778795,-91.6656232
61,"Chambersburg-Waynesboro, PA",39.9375911,-77.6611022
62,"Champaign-Urbana, IL",40.1164204,-88.2433829
63,"Charleston, WV",38.3498195,-81.6326234
64,"Charleston-North Charleston, SC",32.7764749,-79.9310512
65,"Charlotte-Concord-Gastonia, NC-SC",35.2270869,-80.8431267
66,"Charlottesville, VA",38.0293059,-78.4766781
67,"Chattanooga, TN-GA",35.0456297,-85.3096801
68,"Cheyenne, WY",41.1399814,-104.8202462
69,"Chicago-Naperville-Elgin, IL-IN-WI",41.8781136,-87.6297982
70,"Chico, CA",39.7284944,-121.8374777
71,"Cincinnati, OH-KY-IN",39.1031182,-84.5120196
72,"Clarksville, TN-KY",36.5297706,-87.3594528
73,"Cleveland, TN",35.1595182,-84.8766115
74,"Cleveland-Elyria, OH",41.49932,-81.6943605
75,"Coeur d'Alene, ID",47.6776832,-116.7804664
76,"College Station-Bryan, TX",30.627977,-96.3344068
77,"Colorado Springs, CO",38.8338816,-104.8213634
78,"Columbia, MO",38.9517053,-92.3340724
79,"Columbia, SC",34.0007104,-81.0348144
80,"Columbus, GA-AL",32.4609764,-84.9877094
81,"Columbus, IN",39.2014404,-85.9213796
82,"Columbus, OH",39.9611755,-82.9987942
83,"Corpus Christi, TX",27.8005828,-97.396381
84,"Corvallis, OR",44.5645659,-123.2620435
85,"Crestview-Fort Walton Beach-Destin, FL",30.7541808,-86.5727995
86,"Cumberland, MD-WV",39.6528654,-78.7625185
87,"Dallas-Fort Worth-Arlington, TX",32.7801399,-96.8004511
88,"Dalton, GA",34.7698021,-84.9702228
89,"Danville, IL",40.124481,-87.6300207
90,"Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047
91,"Davenport-Moline-Rock Island, IA-IL",41.5236437,-90.5776367
92,"Dayton, OH",39.7589478,-84.1916069
93,"Decatur, AL",34.6059253,-86.9833417
94,"Decatur, IL",39.8403147,-88.9548001
95,"Deltona-Daytona Beach-Ormond Beach, FL",28.9005446,-81.2636738
96,"Denver-Aurora-Lakewood, CO",39.737567,-104.9847179
97,"Des Moines-West Des Moines, IA",41.6005448,-93.6091064
98,"Detroit-Warren-Dearborn, MI",42.331427,-83.0457538
99,"Dothan, AL",31.2232313,-85.3904888
100,"Dover, DE",39.158168,-75.5243682
101,"Dubuque, IA",42.5005583,-90.6645718
102,"Duluth, MN-WI",46.7866719,-92.1004852
103,"Durham-Chapel Hill, NC",35.9940329,-78.898619
104,"East Stroudsburg, PA",40.9995386,-75.1812913
105,"Eau Claire, WI",44.811349,-91.4984941
106,"El Centro, CA",32.792,-115.5630514
107,"Elizabethtown-Fort Knox, KY",31.7775757,-106.4424559
108,"Elkhart-Goshen, IN",37.7030646,-85.8649408
109,"Elmira, NY",41.6819935,-85.9766671
110,"El Paso, TX",42.0897965,-76.8077338
111,"Erie, PA",42.1292241,-80.085059
112,"Eugene, OR",44.0520691,-123.0867536
113,"Evansville, IN-KY",37.9715592,-87.5710898
114,"Fairbanks, AK",64.8377778,-147.7163889
115,"Fargo, ND-MN",46.8771863,-96.7898034
116,"Farmington, NM",36.7280583,-108.2186856
117,"Fayetteville, NC",35.0526641,-78.8783585
118,"Fayetteville-Springdale-Rogers, AR-MO",36.0625795,-94.1574263
119,"Flagstaff, AZ",35.1982836,-111.651302
120,"Flint, MI",43.0125274,-83.6874562
121,"Florence, SC",34.1954331,-79.7625625
122,"Florence-Muscle Shoals, AL",34.79981,-87.677251
123,"Fond du Lac, WI",43.7730448,-88.4470508
124,"Fort Collins, CO",40.5852602,-105.084423
125,"Fort Smith, AR-OK",35.3859242,-94.3985475
126,"Fort Wayne, IN",41.079273,-85.1393513
127,"Fresno, CA",36.7468422,-119.7725868
128,"Gadsden, AL",34.014264,-86.0066386
129,"Gainesville, FL",29.6516344,-82.3248262
130,"Gainesville, GA",34.2978794,-83.8240663
131,"Gettysburg, PA",39.8309293,-77.2310955
132,"Glens Falls, NY",42.2548097,-74.0270786
133,"Goldsboro, NC",35.3848841,-77.9927651
134,"Grand Forks, ND-MN",47.9252568,-97.0328547
135,"Grand Island, NE",40.9263957,-98.3420118
136,"Grand Junction, CO",39.0638705,-108.5506486
137,"Grand Rapids-Wyoming, MI",42.9633599,-85.6680863
138,"Grants Pass, OR",42.4390069,-123.3283925
139,"Great Falls, MT",47.4941836,-111.2833449
140,"Greeley, CO",40.4233142,-104.7091322
141,"Green Bay, WI",44.519159,-88.019826
142,"Greensboro-High Point, NC",36.0726354,-79.7919754
143,"Greenville, NC",35.612661,-77.3663538
144,"Greenville-Anderson-Mauldin, SC",34.8526176,-82.3940104
145,"Gulfport-Biloxi-Pascagoula, MS",30.3674198,-89.0928155
146,"Hagerstown-Martinsburg, MD-WV",39.6417629,-77.7199932
147,"Hammond, LA",30.5043583,-90.4611995
148,"Hanford-Corcoran, CA",36.3274502,-119.6456844
149,"Harrisburg-Carlisle, PA",40.2731911,-76.8867008
150,"Harrisonburg, VA",38.4495688,-78.8689155
151,"Hartford-West Hartford-East Hartford, CT",41.7637111,-72.6850932
152,"Hattiesburg, MS",31.3271189,-89.2903392
153,"Hickory-Lenoir-Morganton, NC",35.7344538,-81.3444573
154,"Hilton Head Island-Bluffton-Beaufort, SC",32.216316,-80.752608
155,"Hinesville, GA",31.846877,-81.5959453
156,"Homosassa Springs, FL",28.8037059,-82.5761369
157,"Hot Springs, AR",34.5037004,-93.0551795
158,"Houma-Thibodaux, LA",29.5957696,-90.7195348
159,"Houston-The Woodlands-Sugar Land, TX",29.7601927,-95.3693896
160,"Huntington-Ashland, WV-KY-OH",38.4192496,-82.445154
161,"Huntsville, AL",34.7303688,-86.5861037
162,"Idaho Falls, ID",43.4916514,-112.0339645
163,"Indianapolis-Carmel-Anderson, IN",39.768403,-86.158068
164,"Iowa City, IA",41.6611277,-91.5301683
165,"Ithaca, NY",42.4439614,-76.5018807
166,"Jackson, MI",42.245869,-84.4013462
167,"Jackson, MS",32.2987573,-90.1848103
168,"Jackson, TN",35.6145169,-88.8139469
169,"Jacksonville, FL",30.3321838,-81.655651
170,"Jacksonville, NC",34.7540524,-77.4302414
171,"Janesville-Beloit, WI",42.6827885,-89.0187222
172,"Jefferson City, MO",38.5767017,-92.1735164
173,"Johnson City, TN",36.3134397,-82.3534727
174,"Johnstown, PA",40.3267407,-78.9219698
175,"Jonesboro, AR",35.8422967,-90.704279
176,"Joplin, MO",37.0842271,-94.513281
177,"Kahului-Wailuku-Lahaina, HI",20.8893351,-156.4729469
178,"Kalamazoo-Portage, MI",42.2917069,-85.5872286
179,"Kankakee, IL",41.1200325,-87.8611531
180,"Kansas City, MO-KS",39.0997265,-94.5785667
181,"Kennewick-Richland, WA",46.2112458,-119.1372338
182,"Killeen-Temple, TX",31.1171194,-97.7277959
183,"Kingsport-Bristol-Bristol, TN-VA",36.548434,-82.5618186
184,"Kingston, NY",41.9270367,-73.9973608
185,"Knoxville, TN",35.9606384,-83.9207392
186,"Kokomo, IN",40.486427,-86.1336033
187,"La Crosse-Onalaska, WI-MN",43.8013556,-91.2395807
188,"Lafayette, LA",30.2240897,-92.0198427
189,"Lafayette-West Lafayette, IN",40.4167022,-86.8752869
190,"Lake Charles, LA",30.2265949,-93.2173758
191,"Lake Havasu City-Kingman, AZ",34.483901,-114.3224548
192,"Lakeland-Winter Haven, FL",28.0394654,-81.9498042
193,"Lancaster, PA",40.0378755,-76.3055144
194,"Lansing-East Lansing, MI",42.732535,-84.5555347
195,"Laredo, TX",27.5305671,-99.4803241
196,"Las Cruces, NM",32.3199396,-106.7636538
197,"Las Vegas-Henderson-Paradise, NV",36.1699412,-115.1398296
198,"Lawrence, KS",38.9716689,-95.2352501
199,"Lawton, OK",34.6035669,-98.3959291
200,"Lebanon, PA",40.3409251,-76.4113497
201,"Lewiston, ID-WA",46.4004089,-117.0011889
202,"Lewiston-Auburn, ME",44.100351,-70.2147764
203,"Lexington-Fayette, KY",38.0405837,-84.5037164
204,"Lima, OH",40.742551,-84.1052256
205,"Lincoln, NE",40.809722,-96.675278
206,"Little Rock-North Little Rock-Conway, AR",34.7464809,-92.2895948
207,"Logan, UT-ID",41.7369803,-111.8338359
208,"Longview, TX",32.5007037,-94.7404891
209,"Longview, WA",46.1381676,-122.9381672
210,"Los Angeles-Long Beach-Anaheim, CA",34.0522342,-118.2436849
211,"Louisville/Jefferson County, KY-IN",38.2526647,-85.7584557
212,"Lubbock, TX",33.5778631,-101.8551665
213,"Lynchburg, VA",37.4137536,-79.1422464
214,"Macon, GA",32.8406946,-83.6324022
215,"Madera, CA",36.9613356,-120.0607176
216,"Madison, WI",43.0730517,-89.4012302
217,"Manchester-Nashua, NH",42.9956397,-71.4547891
218,"Manhattan, KS",39.1836082,-96.5716694
219,"Mankato-North Mankato, MN",44.1635775,-93.9993996
220,"Mansfield, OH",40.75839,-82.5154471
221,"McAllen-Edinburg-Mission, TX",26.2034071,-98.2300124
222,"Medford, OR",42.3265152,-122.8755949
223,"Memphis, TN-MS-AR",35.1495343,-90.0489801
224,"Merced, CA",37.3021632,-120.4829677
225,"Miami-Fort Lauderdale-West Palm Beach, FL",25.7890972,-80.2040435
226,"Michigan City-La Porte, IN",41.7075394,-86.8950297
227,"Midland, MI",43.6155825,-84.2472116
228,"Midland, TX",31.9973456,-102.0779146
229,"Milwaukee-Waukesha-West Allis, WI",43.0389025,-87.9064736
