id,county_id,year,population
1,1,2010,54750
2,1,2012,54927
3,1,2013,54695
4,1,2014,54864
5,1,2011,55199
6,1,2017,55504
7,1,2015,54838
8,1,2016,55278
9,2,2012,190048
10,2,2013,194736
11,2,2014,199064
12,2,2017,212628
13,2,2015,202863
14,2,2011,186534
15,2,2016,207509
16,2,2010,183110
17,3,2016,25774
18,3,2010,27332
19,3,2013,26947
20,3,2014,26749
21,3,2011,27351
22,3,2017,25270
23,3,2012,27175
24,3,2015,26264
25,4,2010,22872
26,4,2017,22668
27,4,2013,22503
28,4,2012,22658
29,4,2014,22533
30,4,2016,22633
31,4,2015,22561
32,4,2011,22745
33,5,2016,57562
34,5,2010,57381
35,5,2013,57623
36,5,2014,57546
37,5,2015,57590
38,5,2012,57595
39,5,2017,58013
40,5,2011,57562
41,6,2011,10675
42,6,2016,10441
43,6,2015,10419
44,6,2017,10309
45,6,2013,10549
46,6,2014,10673
47,6,2012,10612
48,6,2010,10880
49,7,2012,20688
50,7,2016,19965
51,7,2013,20372
52,7,2017,19825
53,7,2010,20944
54,7,2014,20327
55,7,2011,20880
56,7,2015,20141
57,8,2013,116482
58,8,2017,114728
59,8,2014,115941
60,8,2010,118466
61,8,2015,115505
62,8,2016,114980
63,8,2011,117785
64,8,2012,117219
65,9,2011,34031
66,9,2014,33948
67,9,2017,33713
68,9,2015,33968
69,9,2013,34122
70,9,2012,34092
71,9,2016,33717
72,9,2010,34122
73,10,2017,25857
74,10,2012,25958
75,10,2015,25741
76,10,2010,25973
77,10,2011,25993
78,10,2013,26014
79,10,2016,25766
80,10,2014,25897
81,11,2012,43601
82,11,2015,43706
83,11,2010,43661
84,11,2013,43645
85,11,2016,43830
86,11,2017,44067
87,11,2014,43779
88,11,2011,43688
89,12,2014,13318
90,12,2010,13849
91,12,2016,13050
92,12,2013,13396
93,12,2017,12945
94,12,2015,13231
95,12,2012,13561
96,12,2011,13607
97,13,2015,24708
98,13,2012,25152
99,13,2013,25118
100,13,2014,24865
101,13,2017,24083
102,13,2016,24350
103,13,2010,25765
104,13,2011,25582
105,14,2015,13414
106,14,2011,13688
107,14,2012,13434
108,14,2010,13900
109,14,2013,13406
110,14,2014,13440
111,14,2017,13367
112,14,2016,13410
113,15,2013,14976
114,15,2014,15026
115,15,2010,15004
116,15,2017,14900
117,15,2011,14928
118,15,2015,14922
119,15,2016,14873
120,15,2012,14889
121,16,2015,50974
122,16,2011,50434
123,16,2012,51113
124,16,2014,50652
125,16,2010,50203
126,16,2013,50647
127,16,2017,51874
128,16,2016,51217
129,17,2011,54534
130,17,2014,54461
131,17,2016,54327
132,17,2013,54528
133,17,2017,54500
134,17,2015,54358
135,17,2012,54569
136,17,2010,54525
137,18,2015,12678
138,18,2011,13187
139,18,2012,13041
140,18,2014,12677
141,18,2013,12908
142,18,2010,13229
143,18,2017,12469
144,18,2016,12515
145,19,2016,10809
146,19,2010,11782
147,19,2012,11347
148,19,2015,10923
149,19,2011,11484
150,19,2014,11034
151,19,2017,10754
152,19,2013,11253
153,20,2010,37811
154,20,2016,37386
155,20,2014,37755
156,20,2013,37811
157,20,2011,38017
158,20,2017,37092
159,20,2012,37803
160,20,2015,37550
161,21,2015,13851
162,21,2013,13847
163,21,2016,13907
164,21,2011,13898
165,21,2010,13875
166,21,2017,13871
167,21,2014,13852
168,21,2012,13916
169,22,2017,82755
170,22,2014,81041
171,22,2015,81721
172,22,2012,80275
173,22,2010,80466
174,22,2016,82322
175,22,2011,80411
176,22,2013,80674
177,23,2014,49409
178,23,2017,49226
179,23,2012,50287
180,23,2011,50107
181,23,2013,49759
182,23,2015,49344
183,23,2010,50392
184,23,2016,49228
185,24,2013,41981
186,24,2014,41559
187,24,2016,40081
188,24,2011,43256
189,24,2012,42795
190,24,2010,43863
191,24,2017,39215
192,24,2015,40939
193,25,2016,71216
194,25,2011,71353
195,25,2014,71034
196,25,2015,71198
197,25,2012,70944
198,25,2017,71617
199,25,2010,71169
200,25,2013,70905
201,26,2017,81677
202,26,2016,81240
203,26,2015,80912
204,26,2014,80562
205,26,2011,80006
206,26,2010,79581
207,26,2012,80220
208,26,2013,80555
209,27,2016,37476
210,27,2014,37740
211,27,2010,38346
212,27,2011,38202
213,27,2013,37773
214,27,2015,37667
215,27,2017,37447
216,27,2012,38028
217,28,2015,102942
218,28,2017,102755
219,28,2016,102726
220,28,2010,104457
221,28,2012,104257
222,28,2011,104354
223,28,2014,103374
224,28,2013,103865
225,29,2013,16823
226,29,2016,16538
227,29,2015,16688
228,29,2017,16468
229,29,2012,16944
230,29,2014,16768
231,29,2010,17231
232,29,2011,17050
233,30,2013,31504
234,30,2014,31494
235,30,2010,31749
236,30,2016,31577
237,30,2011,31767
238,30,2015,31467
239,30,2017,31495
240,30,2012,31658
241,31,2013,26684
242,31,2016,26516
243,31,2015,26639
244,31,2011,26760
245,31,2017,26421
246,31,2010,26783
247,31,2014,26598
248,31,2012,26928
249,32,2010,8997
250,32,2014,8587
251,32,2012,8852
252,32,2017,8330
253,32,2015,8510
254,32,2011,8907
255,32,2016,8488
256,32,2013,8752
257,33,2010,15745
258,33,2016,14847
259,33,2014,15048
260,33,2011,15358
261,33,2012,15360
262,33,2015,15018
263,33,2013,15248
264,33,2017,14812
265,34,2012,17157
266,34,2014,17080
267,34,2013,17130
268,34,2010,17297
269,34,2017,17147
270,34,2016,17092
271,34,2015,17102
272,34,2011,17376
273,35,2012,103362
274,35,2011,102468
275,35,2016,104173
276,35,2015,104249
277,35,2017,104346
278,35,2013,103625
279,35,2014,104148
280,35,2010,101790
281,36,2010,53184
282,36,2015,52207
283,36,2017,51909
284,36,2014,52541
285,36,2011,53212
286,36,2016,52049
287,36,2013,52923
288,36,2012,53054
289,37,2016,659747
290,37,2015,660087
291,37,2012,657668
292,37,2010,658048
293,37,2014,659544
294,37,2011,657789
295,37,2013,658727
296,37,2017,659197
297,38,2013,14210
298,38,2012,14245
299,38,2017,13946
300,38,2015,13931
301,38,2016,13949
302,38,2011,14287
303,38,2014,14070
304,38,2010,14494
305,39,2014,92983
306,39,2012,92652
307,39,2017,92538
308,39,2015,92422
309,39,2010,92735
310,39,2011,92603
311,39,2016,92319
312,39,2013,92688
313,40,2010,34343
314,40,2015,33137
315,40,2016,33232
316,40,2011,34047
317,40,2012,33805
318,40,2017,33049
319,40,2013,33575
320,40,2014,33448
321,41,2012,148318
322,41,2011,144117
323,41,2014,154211
324,41,2013,151445
325,41,2016,158983
326,41,2015,156740
327,41,2010,140806
328,41,2017,161604
329,42,2014,90616
330,42,2016,92920
331,42,2013,88902
332,42,2017,94402
333,42,2010,83177
334,42,2011,85530
335,42,2012,87322
336,42,2015,91633
337,43,2017,10076
338,43,2011,11130
339,43,2013,10658
340,43,2012,10846
341,43,2014,10489
342,43,2016,10241
343,43,2015,10345
344,43,2010,11282
345,44,2011,21284
346,44,2013,20021
347,44,2016,19072
348,44,2015,19304
349,44,2017,18755
350,44,2012,20603
351,44,2010,21506
352,44,2014,19640
353,45,2010,336102
354,45,2011,339519
355,45,2013,346373
356,45,2016,356312
357,45,2015,352740
358,45,2017,361046
359,45,2012,342554
360,45,2014,349596
361,46,2010,20944
362,46,2017,19375
363,46,2013,20105
364,46,2014,19975
365,46,2012,20360
366,46,2011,20649
367,46,2015,19757
368,46,2016,19505
369,47,2014,30200
370,47,2011,30650
371,47,2013,30220
372,47,2012,30480
373,47,2010,30816
374,47,2017,29833
375,47,2016,29922
376,47,2015,30116
377,48,2016,95043
378,48,2015,94577
379,48,2010,93129
380,48,2017,95548
381,48,2013,94291
382,48,2012,94217
383,48,2014,94232
384,48,2011,93890
385,49,2012,413737
386,49,2016,414852
387,49,2015,414588
388,49,2011,413232
389,49,2013,413929
390,49,2014,414314
391,49,2010,413320
392,49,2017,413955
393,50,2010,23010
394,50,2011,22800
395,50,2013,22176
396,50,2014,21931
397,50,2012,22587
398,50,2017,21327
399,50,2016,21572
400,50,2015,21720
401,51,2011,229162
402,51,2014,227307
403,51,2012,228702
404,51,2016,226716
405,51,2015,227002
406,51,2017,226646
407,51,2010,229515
408,51,2013,227927
409,52,2016,118819
410,52,2011,120007
411,52,2013,119539
412,52,2017,118818
413,52,2012,120075
414,52,2010,119606
415,52,2015,119199
416,52,2014,119408
417,53,2013,10019
418,53,2017,9339
419,53,2014,9819
420,53,2015,9653
421,53,2011,10472
422,53,2010,10567
423,53,2016,9570
424,53,2012,10184
425,54,2015,20776
426,54,2012,19313
427,54,2014,20282
428,54,2016,20315
429,54,2010,19749
430,54,2013,19302
431,54,2017,20176
432,54,2011,19354
433,55,2014,33016
434,55,2015,33372
435,55,2013,33563
436,55,2011,32967
437,55,2012,33093
438,55,2010,32967
439,55,2016,33215
440,55,2017,33267
441,56,2011,22740
442,56,2016,22498
443,56,2014,22350
444,56,2013,22546
445,56,2010,22935
446,56,2017,22670
447,56,2012,22532
448,56,2015,22588
449,57,2016,58177
450,57,2010,53309
451,57,2011,54833
452,57,2014,59207
453,57,2015,58847
454,57,2017,57045
455,57,2013,59123
456,57,2012,57478
457,58,2014,86219
458,58,2011,84211
459,58,2013,86029
460,58,2012,84975
461,58,2017,88199
462,58,2015,86758
463,58,2016,87482
464,58,2010,83814
465,59,2013,203897
466,59,2014,206152
467,59,2016,211073
468,59,2011,197885
469,59,2010,196017
470,59,2017,213605
471,59,2015,208877
472,59,2012,200828
473,60,2012,13428
474,60,2010,13730
475,60,2013,13376
476,60,2014,13253
477,60,2016,12932
478,60,2015,13174
479,60,2017,12687
480,60,2011,13491
481,61,2013,81497
482,61,2015,81047
483,61,2017,80065
484,61,2010,82107
485,61,2016,80386
486,61,2012,82072
487,61,2011,81792
488,61,2014,81445
489,62,2012,41040
490,62,2017,40681
491,62,2010,41477
492,62,2011,41394
493,62,2016,40574
494,62,2014,40886
495,62,2013,41021
496,62,2015,40617
497,63,2014,202803
498,63,2017,207811
499,63,2013,200752
500,63,2012,198597
501,63,2015,204473
502,63,2016,206282
503,63,2011,196699
504,63,2010,194993
505,64,2011,66577
506,64,2016,64561
507,64,2014,65326
508,64,2015,64939
509,64,2017,64058
510,64,2010,66998
511,64,2012,66084
512,64,2013,65749
513,65,2016,16646
514,65,2010,17629
515,65,2012,17140
516,65,2017,16531
517,65,2015,16812
518,65,2013,16888
519,65,2011,17355
520,65,2014,16851
521,66,2014,10951
522,66,2015,10901
523,66,2016,10875
524,66,2017,10719
525,66,2011,11440
526,66,2010,11562
527,66,2013,11150
528,66,2012,11306
529,67,2016,23887
530,67,2010,24408
531,67,2013,24183
532,67,2012,24186
533,67,2015,23918
534,67,2014,24129
535,67,2011,24354
536,67,2017,23722
537,68,2017,3370
538,68,2010,3170
539,68,2016,3324
540,68,2014,3325
541,68,2013,3324
542,68,2011,3262
543,68,2012,3304
